date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:00	14227/14227	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:00%20GMT	http://www.ericryananderson.com/project/phoenix	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/phoenix.html	(from http://www.ericryananderson.com/)
20:16:00	7086/7086	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Mar%202018%2016:47:59%20GMT	http://ericryananderson.imgix.net/siteGray/570_coverjune2017-phoenix-highres-1.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_coverjune2017-phoenix-highres-1.png	(from http://www.ericryananderson.com/)
20:16:00	994893/994893	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jul%202018%2010:50:42%20GMT	http://ericryananderson.imgix.net/570_coverjune2017-phoenix-highres-1.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_coverjune2017-phoenix-highres-1.jpg	(from http://www.ericryananderson.com/)
20:16:00	18941/18941	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:00%20GMT	http://www.ericryananderson.com/project-grid/kirk-cousins	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project-grid/kirk-cousins.html	(from http://www.ericryananderson.com/)
20:16:00	7647/7647	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Nov%202017%2015:25:58%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_kcousins_8971.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_kcousins_8971.png	(from http://www.ericryananderson.com/)
20:16:01	809419/809419	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Jul%202018%2011:33:00%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_kcousins_8971.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_kcousins_8971.jpg	(from http://www.ericryananderson.com/)
20:16:01	23068/23068	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:01%20GMT	http://www.ericryananderson.com/project/oliberte-ss17	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/oliberte-ss17.html	(from http://www.ericryananderson.com/)
20:16:01	7933/7933	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Feb%202018%2023:16:10%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_oliberte17_0152.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_oliberte17_0152.png	(from http://www.ericryananderson.com/)
20:16:01	383413/383413	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Jul%202018%2017:40:08%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_oliberte17_0152.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_oliberte17_0152.jpg	(from http://www.ericryananderson.com/)
20:16:02	15793/15793	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:01%20GMT	http://www.ericryananderson.com/project-grid/diplo	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project-grid/diplo.html	(from http://www.ericryananderson.com/)
20:16:02	7996/7996	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2017:41:59%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_diplo_180_web.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_diplo_180_web.png	(from http://www.ericryananderson.com/)
20:16:02	713213/713213	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Jul%202018%207:15:45%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_diplo_180_web.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_diplo_180_web.jpg	(from http://www.ericryananderson.com/)
20:16:02	15491/15491	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:02%20GMT	http://www.ericryananderson.com/project/brooklyn-morning	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/brooklyn-morning.html	(from http://www.ericryananderson.com/)
20:16:02	3900/3900	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Oct%202017%2012:23:59%20GMT	http://ericryananderson.imgix.net/siteGray/570_era_ugo.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_era_ugo.png	(from http://www.ericryananderson.com/)
20:16:03	234498/234498	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Jul%202018%205:46:08%20GMT	http://ericryananderson.imgix.net/570_era_ugo.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_era_ugo.jpg	(from http://www.ericryananderson.com/)
20:16:03	43462/43462	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:03%20GMT	http://www.ericryananderson.com/project-grid/road-to-montauk	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project-grid/road-to-montauk.html	(from http://www.ericryananderson.com/)
20:16:03	17616/17616	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Oct%202017%2014:13:24%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_eamontauk_051.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_eamontauk_051.png	(from http://www.ericryananderson.com/)
20:16:04	1064155/1064155	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2013:24:24%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_eamontauk_051.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_eamontauk_051.jpg	(from http://www.ericryananderson.com/)
20:16:04	14476/14476	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:03%20GMT	http://www.ericryananderson.com/project/drew-holcomb-2017	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/drew-holcomb-2017.html	(from http://www.ericryananderson.com/)
20:16:04	13419/13419	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%201:42:17%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_drewholcomb2017_003bb.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_drewholcomb2017_003bb.png	(from http://www.ericryananderson.com/)
20:16:04	740260/740260	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Jun%202018%2011:20:54%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_drewholcomb2017_003bb.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_drewholcomb2017_003bb.jpg	(from http://www.ericryananderson.com/)
